window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-10-18 → 2012-10-18,7434507.108432322,47504448.71908882,19252987.04573205,34401058.462560974,29.49462729977284,67.29870389168964,37.8040765919168
2011-10-19 → 2012-10-19,7434507.108432322,47504448.71908882,19163672.90706323,34039613.17837639,29.27173169504087,66.39666792743344,37.12493623239257
2011-10-20 → 2012-10-20,7434507.108432322,47504448.71908882,19064082.444856476,33367210.997948095,29.023190124468005,64.71859665155847,35.69540652709047
2011-10-21 → 2012-10-21,7434507.108432322,47504448.71908882,18971808.976158686,32887544.76293736,28.7929091083528,63.521524193426494,34.7286150850737
2011-10-22 → 2012-10-22,7434507.108432322,47504448.71908882,18888996.97942819,32802228.36495829,28.58624048493641,63.308605495395796,34.722365010459384
2011-10-23 → 2012-10-23,7434507.108432322,47504448.71908882,18825919.294618182,34817203.350625634,28.42882152629926,68.33725017186187,39.90842864556261
2011-10-24 → 2012-10-24,7434507.108432322,47504448.71908882,18762776.30090898,35055249.70381251,28.27123958040391,68.93132728707177,40.66008770666785
2011-10-25 → 2012-10-25,7434507.108432322,47504448.71908882,18680113.699889462,32687555.20090597,28.064943794343833,63.02242298690464,34.957479192560804
2011-10-26 → 2012-10-26,7434507.108432322,47504448.71908882,18609763.020740964,33289885.939855136,27.889374087175135,64.52562143126916,36.63624734409402
2011-10-27 → 2012-10-27,7434507.108432322,47504448.71908882,18537714.94164989,33078133.49593433,27.70956828712897,63.997164349952904,36.28759606282394
2011-10-28 → 2012-10-28,7434507.108432322,47504448.71908882,18473684.360192545,34254193.095871486,27.549771245048138,66.93218135438094,39.38241010933281
2011-10-29 → 2012-10-29,7434507.108432322,47504448.71908882,18413620.53716189,34957312.02555052,27.39987378920887,68.68691046407359,41.28703667486472
2011-10-30 → 2012-10-30,7434507.108432322,47504448.71908882,18362370.149251357,36674648.02724533,27.27197146180217,72.97275649395174,45.70078503214957
2011-10-31 → 2012-10-31,7434507.108432322,47504448.71908882,18303167.083764464,35785117.02163865,27.12422214371695,70.7528106446418,43.62858850092485
2011-11-01 → 2012-11-01,7434507.108432322,47504448.71908882,18245387.73980724,36054691.837881416,26.980025916733037,71.42557133609006,44.44554541935702
2011-11-02 → 2012-11-02,7434507.108432322,47504448.71908882,18185334.622223306,35743048.25793732,26.83015517779499,70.6478223117161,43.817667133921105
2011-11-03 → 2012-11-03,7434507.108432322,47504448.71908882,18127227.267425295,36484635.03831744,26.685140355056745,72.49855318521182,45.81341283015507
2011-11-04 → 2012-11-04,7434507.108432322,47504448.71908882,18066462.766062412,36242495.02824231,26.533494260951322,71.89425979135586,45.36076553040454
